Session,Cell,NumSignificant,SignificantEvents
session_2024_04_23_1_MAT008,cell493,1,"rewardTime"
session_2024_04_23_1_MAT008,cell494,0,""
session_2024_04_23_1_MAT008,cell495,0,""
session_2024_04_23_1_MAT008,cell496,0,""
session_2024_04_23_1_MAT008,cell497,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell498,0,""
session_2024_04_23_1_MAT008,cell499,0,""
session_2024_04_23_1_MAT008,cell500,0,""
session_2024_04_23_1_MAT008,cell501,0,""
session_2024_04_23_1_MAT008,cell502,0,""
session_2024_04_23_1_MAT008,cell503,0,""
session_2024_04_23_1_MAT008,cell504,0,""
session_2024_04_23_1_MAT008,cell505,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell506,0,""
session_2024_04_23_1_MAT008,cell507,0,""
