,trialNumber,stimulusType,stimulusOnsetTime,rewardTime,rewardVolume,lickTimePostStim,lickTimePostReward,trialOffsets,rewardProb
129,130.0,Gabor90,1686.8957078886838,1689.0382001401827,3.0,1688.209,1689.0585,34.11028529428738,100% Rewarded
130,131.0,Gabor0,1700.0646875482314,,0.0,1701.2445,1702.2095,34.11028529428738,50% Rewarded
131,132.0,Gabor45,1713.5113355081962,,0.0,,,34.11028529428738,0% Rewarded
132,133.0,Gabor90,1726.3380207869868,1728.4892051055213,3.0,1727.767,1728.4865,34.11028529428738,100% Rewarded
133,134.0,Gabor0,1737.6253770471496,,0.0,1738.7450000000001,1739.8365000000001,34.11028529428738,50% Rewarded
134,135.0,Gabor0,1748.8515787783886,,0.0,1750.121,1751.028,34.11028529428738,50% Rewarded
135,136.0,Gabor90,1762.175098750352,1764.305200330903,3.0,1763.363,1764.2845,34.11028529428738,100% Rewarded
136,137.0,Gabor90,1775.3510907866782,1777.4742002716837,3.0,1776.7425,1777.58,34.11028529428738,100% Rewarded
137,138.0,Gabor0,1788.3979028433025,,0.0,1789.464,1790.6770000000001,34.11028529428738,50% Rewarded
138,139.0,Gabor90,1799.4258277791405,1801.5402002716837,3.0,,,34.11028529428738,100% Rewarded
139,140.0,Gabor90,1811.5865491508594,1813.724200330903,3.0,1812.4675,1813.7825,34.11028529428738,100% Rewarded
140,141.0,Gabor45,1825.5474368085302,,0.0,,,34.11028529428738,0% Rewarded
141,142.0,Gabor0,1836.5910483115808,,0.0,,,34.11028529428738,50% Rewarded
142,143.0,Gabor45,1857.2804082973184,,0.0,,,34.11028529428738,0% Rewarded
143,144.0,Gabor90,1870.297598938275,1872.425700304559,3.0,1871.4455,1872.461,34.11028529428738,100% Rewarded
144,145.0,Gabor45,1881.7762484115106,,0.0,,,34.11028529428738,0% Rewarded
145,146.0,Gabor90,1898.9531769356604,1901.074700278314,3.0,1900.137,1901.174,34.11028529428738,100% Rewarded
146,147.0,Gabor0,1915.0842944731414,1917.2082003309029,3.0,1916.162,1917.1960000000001,34.11028529428738,50% Rewarded
147,148.0,Gabor90,1926.8316382052208,1928.9682002453512,3.0,1928.3005,1928.971,34.11028529428738,100% Rewarded
148,149.0,Gabor0,1937.884005231455,1940.0092002716838,3.0,1939.088,1940.0645,34.11028529428738,50% Rewarded
149,150.0,Gabor90,1954.1845658910033,1956.3267003110932,3.0,1955.8210000000001,1956.411,34.11028529428738,100% Rewarded
150,151.0,Gabor0,1973.657226760365,,0.0,1974.7205000000001,1975.8400000000001,34.11028529428738,50% Rewarded
151,152.0,Gabor45,1984.6826982812013,,0.0,,,34.11028529428738,0% Rewarded
152,153.0,Gabor45,1996.5274067686196,,0.0,,,34.11028529428738,0% Rewarded
153,154.0,Gabor45,2013.3098876489698,,0.0,,,34.11028529428738,0% Rewarded
154,155.0,Gabor0,2027.998195010356,2030.1292002848527,3.0,2028.861,2030.2035,34.11028529428738,50% Rewarded
155,156.0,Gabor0,2039.7262934079386,,0.0,2041.511,2041.9435,34.11028529428738,50% Rewarded
156,157.0,Gabor0,2051.734579408333,2053.88070029139,3.0,2053.0,2053.8775,34.11028529428738,50% Rewarded
157,158.0,Gabor90,2064.6301254676646,2066.761700146787,3.0,2066.3845,2066.8335,34.11028529428738,100% Rewarded
158,159.0,Gabor45,2076.004570384239,,0.0,,,34.11028529428738,0% Rewarded
159,160.0,Gabor45,2088.807987833834,,0.0,,,34.11028529428738,0% Rewarded
